Author,Content
"
祸祸完人就不给钱
","


邻居老伞和隔壁小孩是忘年之交，小孩外出打工三年才会，乍一见面，老伞本想给小孩来个小鸟依人热情洋溢的抱抱 ，结果一下子把小孩扑了个后空翻，跟头把式的。小孩起来揉揉生疼的屁股拍了拍屁股上的土：麻蛋  说好的小鸟依人呢？没有小鸟依人不说， 老伞颌下一副扎里扎撒黑钢髯， 犹如钢针， 恰似铁线 ， 特么的扎的我好疼，老伞挠了挠头：这三年，，是兵荒马乱的三年，风风火火的三年，破马张飞的三年，一想你就拼命吃东西，结果思念越深，体重越重。话说老伞是哲人骚客，这些年毁人不倦，为了仿古在书房挂了一副对联，上联：
…
查看全文"
"
夏有凉风秋望月
","


自从老妈让我给老公多加零花钱后，每一次去我妈家，都非拉着我老公打三 人 麻 将，而我老公每次都输了血本无归。我在想，到底是二老中的谁在套路我们夫妻俩[生气了][生气了][生气了]

"
"
忧郁的创可贴
","


家住九楼，每天来来回回乘坐电梯都能带回来几只蚊子，很是烦恼。后来听同事说，可以在八楼或者十楼下电梯，然后走楼梯回家，这样能避免把蚊子带回家，我眼前一亮，真是个好主意啊!昨天，我从十楼往下走的时候，碰见了 十楼的邻居 正在往上走。。。

"
"
惨剧见多了
","


今天骑自行车通勤上下班，没带手电，路过一乌漆麻黑的道路，正好一外卖小哥骑着电动车经过，就在我后面照了两公里。到了大路跟外卖小哥到了一声谢，外卖小哥冲我挥了挥手。虽然不是什么笑话，但是那一刻确实很感动，祝不知道姓名的外卖小哥出入平安，月入十万！[捂脸]

"
"
忧郁的创可贴
","


最近没日没夜忙订货会，中午在食堂跟上司一边吃饭一边讨论活动方案和细节，讲的太投入，忽然嘴里一麻，脑袋一震，然后吐出来一块小石头和半颗牙齿。。。看着上司懵逼的表情，我弱弱问了一句:  领导，这算工伤吗？

"
"
胖香
","


天气太热，心情烦躁，闺女还不听话。我骂道：你就气我吧，把我气死了，给你找个后妈，看她怎么收拾你！闺女想想，认真的说：那她会偷吃我们的零食吗？

"
"
璃白°
","


我堂哥很帅,惹了附近离婚单身女性,非赖着嫁给他.万般无赖,他装疯卖傻,让家人说他有神经病,这女性不信,除非你把猪粪吃喽,并说如果不娶她,她就去自尽,哭哭啼啼的.7岁的我,看到这难解的情况,为了帮堂哥早日脱离苦海,我去猪舍舀了满满一盆猪粪递给堂哥,眼神坚定的鼓励他.....

"
"
净心居士
","


当年在大学的时候同桌问我:中午吃什么？我回答道:吃食堂。连续问了我几遍我回答都是吃食堂。中午在刷校园网时，看到一个视频，还配上文字:中午吃什么？吃 屎 汤[捂脸][捂脸][捂脸]

"
"
夏有凉风秋望月
","


记得上学那阵儿，三妹用零花钱买了盒蛋糕，因为造型太萌不忍心吃，我俩看了好久，我决定挺身而出，趁她上厕所的功夫，一阵大快朵颐，囫囵吞枣之后——顿时就馋了。我珍藏款的手链就这么被三妹掠走了，不然告诉老妈，会停掉我一个月的零花钱！

"
"
天热打鼓球
","


初中时。有天回家老爸问我，今天看到你和一女孩子，手牵手，很亲呢的样子，她是谁啊？我大脑高速运转后，装做漫不经心的答道：哦，那是我表妹。我想了三天三夜也没想明白，这么天衣无缝的说词居然会被老爸一眼就识破了！

"
